0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:51:00 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:01:53 +0900] "GET /boardproject/index.jsp HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:01:53 +0900] "GET /boardproject/js/bootstrap.js HTTP/1.1" 200 126044
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:01:53 +0900] "GET /boardproject/css/bootstrap.css HTTP/1.1" 200 188998
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:02:30 +0900] "GET /boardproject/index.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:02:30 +0900] "GET /boardproject/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:02:30 +0900] "GET /boardproject/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:02:31 +0900] "GET /boardproject/index.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:02:31 +0900] "GET /boardproject/index.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:02:31 +0900] "GET /boardproject/index.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:05:13 +0900] "GET /boardproject/index.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:05:13 +0900] "GET /boardproject/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:05:13 +0900] "GET /boardproject/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:08:45 +0900] "GET /boardproject/login2.jsp HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:08:45 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:08:53 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:08:54 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:08:54 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:08:54 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:09:02 +0900] "GET /boardproject/login.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:09:05 +0900] "GET /boardproject/login?id=jeemin&pw=123 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:09:07 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:09:18 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:09:18 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:09:18 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:09:19 +0900] "GET /boardproject/login2.jsp HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:09:21 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:10:06 +0900] "GET /boardproject/login2.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:10:08 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:10:15 +0900] "GET /boardproject/logout.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:10:15 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:10:17 +0900] "GET /boardproject/login.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:10:22 +0900] "GET /boardproject/login2.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:10:25 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:12 +0900] "GET /boardproject/login2.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:13 +0900] "GET /boardproject/login2.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:14 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:15 +0900] "GET /boardproject/login.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:18 +0900] "GET /boardproject/login.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:18 +0900] "GET /boardproject/login.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:34 +0900] "GET /boardproject/login2.jsp HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:36 +0900] "POST /login HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:37 +0900] "POST /login HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:37 +0900] "POST /login HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:37 +0900] "POST /login HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:38 +0900] "POST /login HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:11:38 +0900] "POST /login HTTP/1.1" 404 1002
